"year","year_crop","product","subcommod","variety","items","province_code","area","attribute","values","unit","data_date"
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,60790599,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,58246976,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,26269964,ตัน,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,432.0,กก./ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,451.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,58063476,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,55095547,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,24311539,ตัน,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,419.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,441.0,กก./ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,58645474,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,56545773,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,25236345,ตัน,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,430.0,กก./ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,446.0,กก./ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,59220823,ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,54962767,ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,24934349,ตัน,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,421.0,กก./ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,454.0,กก./ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,59980731,ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,55627198,ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,25177856,ตัน,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,420.0,กก./ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,453.0,กก./ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,61197134,ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,54108276,ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,24064170,ตัน,2024-05-30
